pgpid,shelfmark,type,doc_date_original,doc_date_calendar,doc_date_standard
31952,JRL SERIES C 102,List or table,1078,Hijrī,1667-06-23/1668-06-10
31954,JRL SERIES C 104,List or table,Dhū l-Qaʿda 1238,Hijrī,1823-07-10/1823-08-08
31957,JRL SERIES C 107,List or table,5590,Anno Mundi,1829-09-28/1830-09-17
31962,JRL SERIES C 112,List or table,Safar 1234,Hijrī,1818-11-30/1818-12-28
31964,JRL SERIES C 114,List or table,Elul 5593,Anno Mundi,1833-08-16/1833-09-13
31966,JRL SERIES C 116,List or table,8 Muharram 1267,Hijrī,1850-11-13
31967,JRL SERIES C 117,List or table,1 Heshvan 5319,Anno Mundi,1558-10-13
31968,JRL SERIES C 118,List or table,15 Nisan 5554,Anno Mundi,1794-04-15
31972,JRL SERIES C 122,List or table,Muḥarram 1245,Hijrī,1829-07-03/1829-08-01
31973,JRL SERIES C 123,List or table,5592,Anno Mundi,1831-09-08/1832-09-24
31974,JRL SERIES C 124,List or table,13 Shawwal 1238,Hijrī,1823-06-23
31975,JRL SERIES C 125,List or table,1237,Hijrī,1821-09-28/1822-09-17
31977,JRL SERIES C 127,List or table,21 Tishrei 5605,Anno Mundi,1844-10-04
31978,JRL SERIES C 128,List or table,Jumada I 1238,Hijrī,1823-01-14/1823-02-12
31980,JRL SERIES C 130,List or table,Tishrei 5481,Anno Mundi,1720-10-03/1720-11-01
31984,JRL SERIES C 134,List or table,15 Nisan 5553,Anno Mundi,1793-03-28
31988,JRL SERIES C 138,List or table,5577,Anno Mundi,1816-09-23/1817-09-10
31989,JRL SERIES C 139,List or table,Shaʿbān 1193,Hijrī,1779-08-14/1779-09-11
31992,JRL SERIES C 142,List or table,5 Ṣafar 1257,Hijrī,1841-03-29
31993,JRL SERIES C 143,,5592,Anno Mundi,1831-09-08/1832-09-24
31995,JRL SERIES C 145,List or table,Dhū l-Qaʿda 1237,Hijrī,1822-07-20/1822-08-18
31998,JRL SERIES C 148,List or table,Shawwal 1239,Hijrī,1824-05-30/1824-06-27
32000,JRL SERIES C 150,List or table,5556,Anno Mundi,1795-09-14/1796-10-02
32001,JRL SERIES C 151,List or table,5556,Anno Mundi,1795-09-14/1796-10-02
32005,JRL SERIES C 155,List or table,Nisan 5590,Anno Mundi,1830-03-25/1830-04-23
32007,JRL SERIES C 157,List or table,1239,Hijrī,1823-09-07/1824-08-25
32019,JRL SERIES C 169,State document,Ṣafar 1247,Hijrī,1831-07-12/1831-08-09
32021,JRL SERIES C 171,List or table,23 Tishrei 5586,Anno Mundi,1825-10-05
32022,JRL SERIES C 172,List or table,8 Shawwal 1238,Hijrī,1823-06-18
32023,JRL SERIES C 173,Credit instrument or private receipt,7 Dhū l-Qaʿda 1227,Hijrī,1812-11-12
32024,JRL SERIES C 174,List or table,Ramadan 1241,Hijrī,1826-04-09/1826-05-08
32027,JRL SERIES C 177,List or table,Elul 5493,Anno Mundi,1733-08-12/1733-09-09
32029,JRL SERIES C 179,List or table,16 Tevet 5541,Anno Mundi,1781-01-13
32097,​KC13​ ​MS47,Legal document,24 Kislev 5553,Anno Mundi,1792-12-09
32104,T-S 13Ja1.2,Legal document,"Tuesday, 24 Tammuz 1358",Seleucid,1047-07-21
32117,T-S AS 186.8,List or table,Rabīʿ I 984,Hijrī,1576-05-29/1576-06-27
32153,BL OR 5544.11,Legal document,2 Heshvan 5320,Anno Mundi,1559-10-03
32154,BL OR 5544.12,Legal document,20 Tishrei 5440,Anno Mundi,1679-09-26
32157,BL OR 5544.15,Letter,8 Tammuz 5510,Anno Mundi,1750-07-12
32159,BL OR 5544.17,Letter,5567,Anno Mundi,1806-09-13/1807-10-02
32160,BL OR 5544.19,Letter,Adar 5568,Anno Mundi,1808-02-29/1808-03-28
32161,BL OR 5544.20,Letter,Elul 5611,Anno Mundi,1851-08-29/1851-09-26
32162,BL OR 5544.21,Letter,Tammuz 5611,Anno Mundi,1851-07-01/1851-07-29
32163,BL OR 5544.22,Letter,Tammuz 5619,Anno Mundi,1859-07-03/1859-07-31
32164,BL OR 5544.23,Letter,26 Shevat 5566,Anno Mundi,1806-02-14
32166,BL OR 8663.1,Legal document,26 Adar 1378,Seleucid,1067-03-16
32167,BL OR 8696.1,Legal document,1427,Seleucid,1115-09-21/1116-09-08
32169,BL OR 8696.3,Legal document,Ḥeshvan 1429,Seleucid,1117-09-29/1117-10-28
32182,BL OR 10112D.16,Legal document,1173,Hijrī,1759-08-25/1760-08-12
32187,BL OR 10118.10,Legal document,16 Av 5337,Anno Mundi,1577-07-30
32189,BL OR 10118.14,Legal document,1553,Seleucid,1241-09-07/1242-08-27
32192,BL OR 10123.4,List or table,Sivan 5482,Anno Mundi,1722-05-17/1722-06-15
32208,BL OR 10126(1).25,Legal document,Ḥeshvan 5570,Anno Mundi,1809-10-11/1809-11-08
32214,BL OR 10126(3).15,Legal document,"Wednesday, 24 Shevat 4846",Anno Mundi,1086-02-11
32234,BL OR 10578A.41,Legal document,Shevaṭ 1441,Seleucid,1130-01-13/1130-02-11
32258,BL OR 10653.23,Legal document,"Friday, 29 Adar II 5556",Anno Mundi,1796-04-08
32273,BL OR 12292.29,Legal document,17 Tevet 5609,Anno Mundi,1849-01-11
32275,BL OR 12344.6,Legal document,20 Adar I 5559,Anno Mundi,1799-02-25
32277,BL OR 12344.10,Credit instrument or private receipt,Muḥarram 1182,Hijrī,1768-05-18/1768-06-16
32278,BL OR 12344.11,Credit instrument or private receipt,18 Rajab 1238,Hijrī,1823-03-31
32279,BL OR 12344.12,Legal document,1235,Hijrī,1819-10-20/1820-10-08
32292,"MS 8254, fol. 15",Legal document,Av 4959,Anno Mundi,1199-07-26/1199-08-24
32303,JRL Gaster heb. ms 1636/8 + JRL Gaster heb. ms 1636/9,Letter,5610,Anno Mundi,1849-09-17/1850-09-06
32304,JRL Gaster heb. ms 1636/9 + JRL Gaster heb. ms 1636/8,Letter,Adar 5609,Anno Mundi,1849-02-23/1849-03-23
32314,JRL Gaster heb. ms 1760/3,Paraliterary text,7 Shevat 4883,Anno Mundi,1123-01-05
32321,JRL Gaster heb. ms 1760/14,Legal document,1437,Seleucid,1125-08-31/1126-09-19
32420,JRL Gaster heb. ms 1865/9,List or table,5580,Anno Mundi,1819-09-20/1820-09-08
32481,UPenn RAR MS 85.126.38,State document,Muḥarram 628,Hijrī,1230-11-09/1230-12-08
32488,Halper 222,Letter,Dhū l-Qaʿda 1119,Hijrī,1708-01-24/1708-02-22
32508,Halper 472,Legal document,22 Rabīʿ I 548,Hijrī,1153-06-17
32512,Halper 481,State document,4 Shawwāl 602,Hijrī,1206-05-14
32541,T-S Ar.35.170,State document,19 Muḥarram 533,Hijrī,1138-09-26
32557,T-S Ar.35.196,State document,537,Hijrī,1142-07-27/1143-07-15
32558,T-S Ar.35.197,State document,536,Hijrī,1141-08-06/1142-07-26
32563,T-S Ar.35.217,State document,Muḥarram 504,Hijrī,1110-07-20/1110-08-18
32579,JRL Gaster ar. 1,Legal document,1231,Hijrī,1815-12-03/1816-11-20
32592,JRL SERIES AF 12,Letter,Av 5572,Anno Mundi,1812-07-10/1812-08-08
32711,T-S K27.2,Legal document,10 Sivan 4898,Anno Mundi,1138-05-22
32721,T-S Misc.22.286,State document,531/533,Hijrī,1137/1139
32789,JRL Gaster ar. 9,Credit instrument or private receipt,1246,Hijrī,1830-06-22/1831-06-11
32796,JRL Gaster ar. 16,Credit instrument or private receipt,1248,Hijrī,1832-05-31/1833-05-20
32797,JRL Gaster ar. 17,Legal document,6 Rabīʿ II 1238,Hijrī,1822-12-21
32808,JRL Gaster ar. 28,Credit instrument or private receipt,Rabīʿ I 620,Hijrī,1223-04-04/1223-05-03
32829,JRL Gaster ar. 49,Legal document,28 Dhū l-Ḥijja 1238,Hijrī,1823-09-05
32830,JRL Gaster ar. 50,Legal document,1226,Hijrī,1811-01-26/1812-01-15
32833,JRL Gaster ar. 53,Credit instrument or private receipt,Muḥarram 1224,Hijrī,1809-02-16/1809-03-17
32834,JRL Gaster ar. 54,Legal document,5 Dhū l-Qaʿda 1238,Hijrī,1823-07-14
32836,JRL Gaster ar. 56,Credit instrument or private receipt,Shawwal 1214,Hijrī,1800-02-26/1800-03-26
32837,JRL Gaster ar. 57,Legal document,Shaʿbān 1240,Hijrī,1825-03-21/1825-04-18
32839,JRL Gaster ar. 59,Legal document,1239,Hijrī,1823-09-07/1824-08-25
32840,JRL Gaster ar. 60,Legal document,5 Dhū l-Qaʿda 1030,Hijrī,1621-09-21
32841,JRL Gaster ar. 61,Legal document,1239,Hijrī,1823-09-07/1824-08-25
32842,JRL Gaster ar. 62,Legal document,1249,Hijrī,1833-05-21/1834-05-09
32843,JRL Gaster ar. 63,Legal document,Shaʿbān 1244,Hijrī,1829-02-06/1829-03-06
32844,JRL Gaster ar. 64,Credit instrument or private receipt,1235,Hijrī,1819-10-20/1820-10-08
32846,JRL Gaster ar. 66,Legal document,25 Muḥarram 1238,Hijrī,1822-10-12
32847,JRL Gaster ar. 67,Legal document,10 Jumāda II 1237,Hijrī,1822-03-04
32848,JRL Gaster ar. 68,Credit instrument or private receipt,Shaʿbān 1163,Hijrī,1750-07-06/1750-08-03
32850,JRL Gaster ar. 70,Legal document,1248,Hijrī,1832-05-31/1833-05-20
32853,JRL Gaster ar. 73,Legal document,1243,Hijrī,1827-07-25/1828-07-13
32854,JRL Gaster ar. 74,Legal document,Muḥarram 1254,Hijrī,1838-03-27/1838-04-25
32859,JRL Gaster ar. 79,Legal document,1264,Hijrī,1847-12-09/1848-11-26
32865,JRL Gaster ar. 85,Legal document,Rabīʿ I 1112,Hijrī,1700-08-16/1700-09-14
32866,JRL Gaster ar. 86,Legal document,Rajab 1238,Hijrī,1823-03-14/1823-04-12
32867,JRL Gaster ar. 87,List or table,Ramadan 1229,Hijrī,1814-08-17/1814-09-15
32868,JRL Gaster ar. 88,List or table,1247,Hijrī,1831-06-12/1832-05-30
32869,JRL Gaster ar. 89,Legal document,Shawwāl 1246,Hijrī,1831-03-15/1831-04-12
32870,JRL Gaster ar. 90,Letter,22 Jumada I 1224,Hijrī,1809-07-05
32871,JRL Gaster ar. 91,Legal document,5 Rajab 1238,Hijrī,1823-03-18
32874,JRL Gaster ar. 94,Legal document,1237,Hijrī,1821-09-28/1822-09-17
32878,JRL Gaster ar. 98,Legal document,1247,Hijrī,1831-06-12/1832-05-30
32879,JRL Gaster ar. 99,List or table,19 Dhū l-Ḥijja 1253,Hijrī,1838-03-16
32880,JRL Gaster ar. 100,Legal document,17 Muḥarram 1242,Hijrī,1826-08-21
32884,JRL Gaster ar. 104,Legal document,Muḥarram 1246 - Ṣafar 1246,Hijrī,1830-06-22/1830-07-21
32885,JRL Gaster ar. 105,Credit instrument or private receipt,5 Dhū l-Ḥijja 1241,Hijrī,1826-07-11
32886,JRL Gaster ar. 106,Legal document,"Wednesday, 27 Rajab 1256",Hijrī,1840-09-24
32887,JRL Gaster ar. 107,Legal document,1236,Hijrī,1820-10-09/1821-09-27
32890,JRL Gaster ar. 110,Legal document,26 Jumādā II 1205,Hijrī,1791-03-02
32892,JRL Gaster ar. 112,Legal document,1247,Hijrī,1831-06-12/1832-05-30
32899,JRL Gaster ar. 119,Legal document,1238,Hijrī,1822-09-18/1823-09-06
32900,JRL Gaster ar. 120,Letter,1244,Hijrī,1828-07-14/1829-07-02
32901,JRL Gaster ar. 121,Legal document,21 Rabīʿ II 1184,Hijrī,1770-08-14
32922,JRL Gaster ar. 142,Credit instrument or private receipt,504,Hijrī,1110-07-20/1111-07-09
32937,JRL Gaster ar. 157,State document,14 Jumāda II 1237,Hijrī,1822-03-08
32940,JRL Gaster ar. 160,List or table,1248,Hijrī,1832-05-31/1833-05-20
32975,JRL Gaster ar. 195,Legal document,13 Ramaḍān 1243,Hijrī,1828-03-29
32978,JRL Gaster ar. 198,Legal document,Jumādā II 1245,Hijrī,1829-11-28/1829-12-26
32995,JRL Gaster ar. 300,Legal document,26 Dhū l-Ḥijja 1056,Hijrī,1647-02-02
32997,JRL Gaster ar. 302,State document,Jumāda II 602-603,Hijrī,1206-01-13/1206-02-10
33013,JRL Gaster ar. 318,State document,909,Hijrī,1503-06-26/1504-06-13
33026,JRL Gaster ar. 331,List or table,1248,Hijrī,1832-05-31/1833-05-20
33029,JRL Gaster ar. 334,List or table,8 Rabīʿ II 1288,Hijrī,1871-06-27
33030,JRL Gaster ar. 335,Legal document,1246,Hijrī,1830-06-22/1831-06-11
33057,JRL Gaster ar. 362,Legal document,1240,Hijrī,1824-08-26/1825-08-15
33114,JRL Gaster ar. 419,Legal document,Rajab 1163,Hijrī,1750-06-06/1750-07-05
33135,JRL Gaster ar. 440,State document,584,Hijrī,1188-03-02/1189-02-18
33149,JRL Gaster ar. 454,Legal document,17 Jumādā I 1246,Hijrī,1830-11-03
33210,JRL Gaster ar. 515,State document,438,Hijrī,1046-07-08/1047-06-27
33292,JRL Gaster ar. 597,Legal document,617,Hijrī,1220-03-08/1221-02-24
33332,JRL Gaster ar. 637,Legal document,406,Hijrī,1015-06-21/1016-06-09
33456,JRL Gaster ar. 761,Legal document,Dhū l-Qaʿda 606,Hijrī,1210-04-27/1210-05-26
33501,JRL Gaster ar. 806,Legal query or responsum,1248,Hijrī,1832-05-31/1833-05-20
33534,JRL Gaster ar. 839,Legal document,1236,Hijrī,1820-10-09/1821-09-27
33578,T-S Misc.34.58,Letter,1431,Seleucid,1119-09-08/1120-08-25
33584,"Moss. VII,7",Legal document,416,Hijrī,1025-03-04/1026-02-21
33597,NLI 577.1/12,Legal document,21 Dhū l-Ḥijja 799,Hijrī,1397-08-16
33599,NLI 577.1/14,Legal document,30 Dhū l-Qaʿda 742,Hijrī,1342-05-07
33614,NLI 577.1/27,Legal document,Ramaḍān 710,Hijrī,1311-01-22/1311-02-20
33617,NLI 577.1/30,Legal document,Shaʿbān 700,Hijrī,1301-04-11/1301-05-09
33627,NLI 577.1/38,Legal document,20 Ṣafar 830,Hijrī,1426-12-21
33631,NLI 577.1/42,Legal document,Rabīʿ I 810,Hijrī,1407-08-06/1407-09-04
33641,NLI 577.1/52,Legal document,860,Hijrī,1455-12-11/1456-11-28
33648,NLI 577.1/59,Legal document,30 Ramaḍān 655,Hijrī,1257-10-11
33681,NLI 577.1/50,Legal document,73[.],Hijrī,1329-10-25/1339-07-08
33694,ENA 3901.1,Legal document,Safar 1218,Hijrī,1803-05-23/1803-06-20
33696,ENA 3904.2,Legal document,18 Dhū l-Qaʿda 950,Hijrī,1544-02-12
33698,ENA 3904.13,Literary text,1172,Hijrī,1758-09-04/1759-08-24
33712,T-S NS 226.173,Legal document,Dhū l-Ḥijja 617,Hijrī,1221-01-27/1221-02-24
33717,T-S 8J4.3.1,Legal document,"Monday, 25 Shevaṭ 1338",Seleucid,1028
33726,T-S Misc.22.285,Legal document,5 Shawwāl 427,Hijrī,1036-08-01
33733,MS Roth 723.14,Legal document,"Thursday, 9 Adar 5309",Anno Mundi,1549-02-07
33766,DK 246.3,Legal document,Shevat 1543,Seleucid,1231-12-25/1232-01-23
33767,T-S 13J23.2,State document,19 Shawwāl 442,Hijrī,1051-03-06
33768,BL OR 5566B.11,List or table,Jumādā II 513,Hijrī,1119-09-09/1119-10-07
33783,Bodl. MS Heb. c 56/3,List or table,5 Dhū l-Qaʿda 506,Hijrī,1113-04-23
33791,ENA NS 54.18,List or table,Tishrei 5354,Anno Mundi,1593-09-27/1593-10-26
33877,"Moss. VII,64.1",List or table,1427,Seleucid,1115/1116
33903,JRL Gaster ar. 263,Credit instrument or private receipt,506,Hijrī,1112-06-28/1113-06-17
33921,Bodl. MS heb. f 56/54 + Bodl. MS heb. f 56/53,Legal document,Sivan 1496,Seleucid,1185-05-03/1185-06-01
33962,T-S NS J218,Legal document,1361,Seleucid,1049-08-31/1050-09-19
33968,T-S Ar.35.126,State document,25 Dhū l-Ḥijja 520,Hijrī,1127-01-11
33994,CUL Or.1080 J63,Legal document,Ṭevet 1424,Seleucid,1112-12-22/1113-01-19
34001,CUL Or.1080 J230,Legal document,Tishrei 1484,Seleucid,1172-09-21/1172-10-20
34016,Cod.Heid.Or.78,Legal document,Last decade of Av 1426,Seleucid,1115-08-13/1115-08-22
34017,Cod.Heid.Or.79,Legal document,First decade of Sivan 1438,Seleucid,1127-05-13/1127-05-22
34018,Cod.Heid.Or.80,Legal document,23 Adar I 1475,Seleucid,1164-02-18
34019,PER K 8314,State document,408–410,Hijrī,1017/1021
34021,"Moss. IXa,2.68",State document,Jumādā I 526,Hijrī,1132-03-20/1132-04-18
34036,BL OR 13888.8,Legal document,26 Elul 1633,Seleucid,1322-09-09
34037,BL OR 10578R.34 + BL OR 10578R.54,Legal document,5288,Anno Mundi,1527-08-27/1528-09-13
34050,ENA 2538.1,Legal document,Nisan [15]42,Seleucid,1231-03-06/1231-04-04
34079,DK 314,Legal document,19 Ramaḍān 496,Hijrī,1103-06-26
34080,DK 313,Legal document,first decade of Jumādā I 528,Hijrī,1134-02-27/1134-03-08
34082,DK 310,Legal document,"Monday, 2 Ṭevet 5590",Anno Mundi,1829-12-28
34132,T-S Misc.22.208.3 + T-S Misc.22.208.4,Letter,15 Av 5473,Anno Mundi,1713-08-07
34135,T-S Ar.34.344,List or table,"Wednesday, 11 Tammuz 5310",Anno Mundi,1550-06-25
34148,T-S AS 145.47,Letter,Rabīʿ II 496,Hijrī,1103-01-12/1103-02-09
34166,T-S AS 145.315,Legal document,8 Tammuz 5613,Anno Mundi,1853-07-14
34168,T-S AS 145.290,Paraliterary text,Tishrei 1423,Seleucid,1111
34184,Bodl. MS heb. c 72/31 + Bodl. MS heb. c 72/33 + Bodl. MS heb. c 72/34,Legal document,30 Nisan 5241,Anno Mundi,1481-03-30
34187,Bodl. MS heb. c 72/35–36,Letter,"Monday, 5 Nisan 5245",Anno Mundi,1485-03-21
34221,T-S Ar.34.191,Legal document,Before 9 Av 1412,Seleucid,1101-07
34228,T-S Ar.34.211,State document,557,Hijrī,1161-12-21/1162-12-09
34248,T-S 16.134,Legal document,Tishrei 1356,Seleucid,1044
34249,T-S 10J7.15,State document,412,Hijrī,1021-04-17/1022-04-05
34278,ENA 3958.10,Legal document,"Wednesday, 23 Rajab 1244",Hijrī,1829-01-29
34332,ENA 3754.11,List or table,Kislev 5390,Anno Mundi,1629-11-16/1629-12-15
34342,Bodl. MS heb. a 3/40,Legal document,Last third of Ṭevet 1443,Seleucid,1131/1132
34348,T-S NS 111.114,State document,Muḥarram 532,Hijrī,1137-09-19/1137-10-18
34349,T-S NS 145.22,State document,19 Ramaḍān 504/29 Ramaḍān 504,Hijrī,1111-04-01/1111-04-11
34357,T-S Misc.36.151,Legal document,"Thursday, 25 Iyyar 1396",Seleucid,1085-05-22
34364,T-S K6.154,Legal document,1469,Seleucid,1157/1158
34367,T-S K6.131,Legal document,563,Hijrī,1167-10-17/1168-10-04
34375,T-S K6.45,List or table,"Sunday, 13 Sivan 1335",Seleucid,1024
34439,JRL SERIES P 180,Legal document,1357,Seleucid,1045/1046
34443,JRL SERIES P 233,Legal document,146[.],Seleucid,1148/1158
34527,T-S NS J609,List or table,1362,Seleucid,1050/1051
34543,CUL Or.1080 2.16,Legal document,Ḥeshvan 4813,Anno Mundi,1052-09-28/1052-10-26
34545,NLI 4°9463.10,Legal document,Jumādā I 434,Hijrī,1042-12-17/1043-01-15
34596,BL OR 5561B.17,List or table,Kislev 5549,Anno Mundi,1788-11-30/1788-12-29
34598,T-S K25.111,Letter,4982–83,Anno Mundi,1221/1223
34623,T-S NS 229.8,Legal document,"Sunday night, 20 Ṭevet 1578",Seleucid,1266/1267
34639,MIAC 130,Legal document,5613,Anno Mundi,1852-09-14/1853-10-02
34668,MIAC 41,List or table,Tishrei 5690,Anno Mundi,1929-10-05/1929-11-03
34717,MIAC 124,Letter,5714,Anno Mundi,1953-09-10/1954-09-27
34740,MIAC 170,Letter,29 June 1922,Anno Mundi,1922-06-29
34745,MIAC 13,Legal document,8 Iyyar 5623,Anno Mundi,1863-04-27
34747,MIAC 47,Letter,5 Nisan 5692,Anno Mundi,1932-04-11
34748,MIAC 10,Letter,13 Iyyar 5692,Anno Mundi,1932-05-19
34807,MIAC 58,Legal document,5690,Anno Mundi,1929-10-05/1930-09-22
34824,ENA NS 47.29,Legal document,Iyyar 1390,Seleucid,1079
34880,T-S K25.140.2 + T-S K22.27,Legal document,Adar I and Adar II 5453,Anno Mundi,1693
34911,L-G Ar. II.79,State document,24 Dhū l-Ḥijja 524,Hijrī,1130
34946,T-S 10J7.7,State document,455,Hijrī,1063-01-04/1063-12-24
34971,T-S Ar.43.54,Credit instrument or private receipt,507,Hijrī,1113-06-18/1114-06-06
35014,L-G Misc. 24,Letter,Nisan–Sivan 5585,Anno Mundi,1825
35016,L-G Misc. 46,Legal document,28 Tishrei 1492,Seleucid,1180-10-19
35018,L-G Misc. 54,Paraliterary text,5008-5010,Anno Mundi,1247/1250
35020,L-G Misc. 61,Paraliterary text,4962/4964,Anno Mundi,1201/1204
35022,L-G Misc. 73,Paraliterary text,4790/4791,Anno Mundi,1029-09-11/1030-08-30
35024,L-G Misc. 104,Paraliterary text,4728–31,Anno Mundi,967/971
35032,L-G Misc. 130,Legal document,Adar 2176,Seleucid,1865
35070,T-S NS 320.141,Legal document,1359,Seleucid,1047-09-24/1048-09-11
35087,T-S NS 297.7,State document,507,Hijrī,1113-06-18/1114-06-06
35097,T-S 20.6,Legal document,26 Elul 1348,Seleucid,1037-09-09
35102,T-S Ar.40.142.2,State document,8 Ramaḍān 405,Hijrī,1015-03-02
35105,T-S AS 121.229,Legal document,"Monday, 13 Shaʿbān 657",Hijrī,1259-08-05
35112,T-S Ar.53.65,Legal document,42[.],Hijrī,1029/1038
35117,JRL SERIES B 4346,Legal document,Last tenth of Ṣafar 728,Hijrī,1328-01-04/1328-01-14
35133,T-S Ar.29.56,Literary text,1241,Seleucid,929/930
35159,T-S Misc.28.79.22 + T-S Misc.28.79.25,List or table,Tammuz 1430,Seleucid,1119
35170,ENA 4011.18,Legal document,Ḥeshvan 1435,Seleucid,1123
35171,ENA 4011.51,Legal document,Kislev 1459,Seleucid,1147-10-27/1147-11-25
35181,T-S 28.6,Legal document,1390-10-23,Seleucid,1079-06-26
35185,T-S 10J26.13,Legal document,First third of Adar 1483,Seleucid,1172-02
35186,T-S 8J15.8,Legal document,"Tuesday, 27 Dhū l-Qaʿda 632",Hijrī,1235-08-13
35190,T-S AS 131.24,Legal document,1442,Seleucid,1130/1131
35198,ENA NS 63.16,Legal document,10 Ṭevet 5561,Anno Mundi,1800-12-26
35222,T-S AS 144.187,List or table,Elul 1550,Seleucid,1239
35232,CUL Or.1081 J44,Credit instrument or private receipt,19 Shawwāl 517,Hijrī,1123-12-10
35257,T-S NS J528,Legal document,Tishrei 5325,Anno Mundi,1564-09-07/1564-10-06
35264,T-S NS J282,Legal document,Wednesday 13 Ṭevet 1526,Seleucid,1214/1215
35272,T-S K25.237,State document,411/427,Hijrī,1021/1036
35273,T-S Ar.18(2).193 + T-S Ar.30.306 + T-S Ar.30.314,State document,441,Hijrī,1049-06-05/1050-05-25
35282,T-S Misc.22.280,Legal document,"Monday, 4 Shaʿbān 438",Hijrī,1047-02-03
35294,T-S Misc.27.4.28,Legal document,First decade of Nisan 1436,Seleucid,1125
35295,T-S Misc.27.4.30,Legal document,"Monday, 17 Iyar 4846",Anno Mundi,1086-05-04
35296,T-S Misc.27.4.32,Legal document,Av 1461,Seleucid,1150
35302,T-S Misc.27.4.21,Legal document,First decade of Adar 1453,Seleucid,1142
35310,T-S 10J7.10,Legal document,1446,Seleucid,1134-09-20/1135-09-09
35345,T-S AS 133.111,State document,1 Shawwāl 504,Hijrī,1111-04-12
35374,T-S AS 145.167 + T-S AS 145.165,Letter,Sivan 1504,Seleucid,1193-05-04/1193-06-02
35394,ENA NS 35.17,Letter,41[.],Hijrī,1019/1029
35398,T-S H15.76,Legal document,5 Ṣafar 520,Hijrī,1126-03-02
35450,T-S AS 213.7,Paraliterary text,552,Hijrī,1157-02-13/1158-02-01
35464,T-S K25.240.29,Letter,Nisan/Iyyar 1529,Seleucid,1218
35475,T-S K25.240.10,Legal document,Muḥarram 615,Hijrī,1218-03-30/1218-04-28
35476,T-S K25.240.9,Legal document,Dhū l-Qiʿda 614,Hijrī,1218
35564,ENA NS 83.346.1,State document,Jumādā I 524,Hijrī,1130-04-12/1130-05-11
35613,ENA NS 83.235,State document,522,Hijrī,1128-01-06/1128-12-24
35637,ENA NS 83.196,State document,2 Rabīʿ I 507,Hijrī,1113-08-17
35639,ENA NS 83.192,State document,407,Hijrī,1016-06-10/1017-05-29
35650,ENA NS 83.178,State document,510,Hijrī,1116-05-16/1117-05-04
35665,ENA NS 83.156,State document,"Sunday, 16 Muḥarram 492",Hijrī,1098-12-13
35672,ENA NS 83.169,State document,601,Hijrī,1204-08-29/1205-08-17
35686,T-S NS 321.50,Legal document,Tishrei 1424,Seleucid,1112
35719,T-S H3.63,State document,4 Shaʿbān 566,Hijrī,1171-04-12
35735,"Moss. VIII,141.1",State document,421,Hijrī,1030-01-09/1030-12-28
35744,T-S AS 176.215,Credit instrument or private receipt,Rabīʿ I 565,Hijrī,1169-11-23/1169-12-22
35755,T-S 13J33.11 + ENA NS I.23,Legal document,1391,Seleucid,1079-08-31/1080-09-16
35761,T-S 12.516,Legal document,1440,Seleucid,1128-08-28/1129-09-15
35790,CUL Add.3421 + Bodl. MS heb. d 66/64,Legal document,4th Iyyar 1409,Seleucid,1098-04-08
35796,ENA 972.7,Legal document,"Sunday, 25 Shevaṭ 1456",Seleucid,1145
35799,T-S 16.181,Legal document,4693,Anno Mundi,0932-09-03/0933-09-22
35800,T-S 16.181,Legal document,4693,Anno Mundi,0932-09-03/0933-09-22
35801,T-S 16.181,Legal document,28 Adar 4693,Anno Mundi,0933-02-26
35834,AIU IV.A.206,State document,550-1-19,Hijrī,1155-03-07/1156-02-24
35836,T-S NS 297.270,State document,509,Hijrī,1115-05-27/1116-05-15
35859,T-S NS 322.156,Legal document,4810,Anno Mundi,1049-08-31/1050-09-19
35878,T-S AS 177.3,Legal document,Ramaḍān 425,Hijrī,1034-07-20/1034-08-18
35931,T-S AS 182.180,State document,9 Muḥarram 545,Hijrī,1150-05-08
35955,T-S Misc. 27.3.4,Legal document,12 Muḥarram 52[.],Hijrī,1126/1134
35958,T-S Misc.22.306,List or table,497,Hijrī,1103-10-05/1104-09-22
35961,T-S Misc.22.296,Legal document,Shawwāl 427,Hijrī,1036-07-28/1036-08-25
35979,T-S Misc.35.13,Legal document,13 Kislev 1364,Seleucid,1052-11-08
35986,ENA 3982.14,Paraliterary text,28 Ramadan 631,Hijrī,1234-06-27
35991,T-S Ar.35.51,List or table,Ṣafar 518,Hijrī,1124-03-20/1124-04-17
35998,T-S Ar.35.80,State document,507,Hijrī,1113-06-18/1114-06-06
36005,T-S NS J121,State document,502/503,Hijrī,1108/1110
36008,ENA 2927.12,State document,501,Hijrī,1107-08-22/1108-08-10
36022,ENA NS 14.2,Paraliterary text,Nisan 1563,Seleucid,1252
36037,ENA 2396.1 + ENA 2396.2 + ENA 2396.3 + ENA 2396.4 + ENA 2396.5 + ENA 2396.6 + ENA 2396.7 + ENA 2396.8,Literary text,5375,Anno Mundi,1615
36086,T-S AS 177.541,Legal document,979,Hijrī,1571-05-26/1572-05-13
36088,T-S AS 177.538,Credit instrument or private receipt,726,Hijrī,1325-12-08/1326-11-26
36109,T-S AS 177.472,State document,403,Hijrī,1012-07-23/1013-07-12
36136,T-S AS 177.397,Legal document,11 Ṣafar 916,Hijrī,1510-05-20
36158,T-S Ar.35.263,List or table,16 Dhū l-Qaʿda 597,Hijrī,1201-08-18
